ISO3,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh
#country+code,#meta+id,#indicator+name,#indicator+value+num,#indicator+precision,,#country+name,#date+year,#survey+id,#indicator+code,,,,,,,#indicator+label+code,#indicator+label,,,,,,,,,,
MWI,447052,Antenatal care provider: Doctor,6.9,1,MW,Malawi,1992,MW1992DHS,RH_ANCP_W_DOC,83363010,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,RHANCPWDOC,,1992,DHS,2399,2378,,
MWI,543413,Antenatal care provider: Doctor,6.8,1,MW,Malawi,1992,MW1992DHS,RH_ANCP_W_DOC,83363010,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,RHANCPWDOC,,1992,DHS,2854,2835,,
MWI,447062,Antenatal care provider: Nurse/midwife,83.9,1,MW,Malawi,1992,MW1992DHS,RH_ANCP_W_NRS,83363020,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,RHANCPWNRS,,1992,DHS,2399,2378,,
MWI,543405,Antenatal care provider: Nurse/midwife,83.4,1,MW,Malawi,1992,MW1992DHS,RH_ANCP_W_NRS,83363020,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,RHANCPWNRS,,1992,DHS,2854,2835,,
MWI,447057,Antenatal care provider: Community health worker,0.1,1,MW,Malawi,1992,MW1992DHS,RH_ANCP_W_CHW,83363040,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,RHANCPWCHW,,1992,DHS,2399,2378,,
MWI,543410,Antenatal care provider: Community health worker,0.1,1,MW,Malawi,1992,MW1992DHS,RH_ANCP_W_CHW,83363040,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,RHANCPWCHW,,1992,DHS,2854,2835,,
MWI,447059,Antenatal care provider: Other health worker,1.9,1,MW,Malawi,1992,MW1992DHS,RH_ANCP_W_OHW,83363050,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,RHANCPWOHW,,1992,DHS,2399,2378,,
MWI,543411,Antenatal care provider: Other health worker,2.2,1,MW,Malawi,1992,MW1992DHS,RH_ANCP_W_OHW,83363050,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,RHANCPWOHW,,1992,DHS,2854,2835,,
MWI,447060,Antenatal care provider: Traditional birth attendant,0.3,1,MW,Malawi,1992,MW1992DHS,RH_ANCP_W_TBA,83363070,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,RHANCPWTBA,,1992,DHS,2399,2378,,
MWI,543412,Antenatal care provider: Traditional birth attendant,0.2,1,MW,Malawi,1992,MW1992DHS,RH_ANCP_W_TBA,83363070,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,RHANCPWTBA,,1992,DHS,2854,2835,,
MWI,447063,Antenatal care provider: Missing ,0.1,1,MW,Malawi,1992,MW1992DHS,RH_ANCP_W_MIS,83363090,S,1000,0,Total,Total,14000,Three years preceding the survey,1,0,RHANCPWMIS,,1992,DHS,2399,2378,,
MWI,543406,Antenatal care provider: Missing ,0.1,1,MW,Malawi,1992,MW1992DHS,RH_ANCP_W_MIS,83363090,S,1000,0,Total,Total,14001,Five years preceding the survey,1,1,RHANCPWMIS,,1992,DHS,2854,2835,,
MWI,447056,No antenatal care,6.7,1,MW,Malawi,1992,MW1992DHS,RH_ANCP_W_NON,83363100,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,RHANCPWNON,,1992,DHS,2399,2378,,
MWI,543408,No antenatal care,7.2,1,MW,Malawi,1992,MW1992DHS,RH_ANCP_W_NON,83363100,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,RHANCPWNON,,1992,DHS,2854,2835,,
MWI,447064,Antenatal care: Total,100,1,MW,Malawi,1992,MW1992DHS,RH_ANCP_W_TOT,83363110,T,1000,0,Total,Total,14000,Three years preceding the survey,1,0,RHANCPWTOT,,1992,DHS,2399,2378,,
MWI,543407,Antenatal care: Total,100,1,MW,Malawi,1992,MW1992DHS,RH_ANCP_W_TOT,83363110,T,1000,0,Total,Total,14001,Five years preceding the survey,1,1,RHANCPWTOT,,1992,DHS,2854,2835,,
MWI,447061,Antenatal care from a skilled provider,90.8,1,MW,Malawi,1992,MW1992DHS,RH_ANCP_W_SKP,83363120,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,RHANCPWSKP,,1992,DHS,2399,2378,,
