ISO3,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh
#country+code,#meta+id,#indicator+name,#indicator+value+num,#indicator+precision,,#country+name,#date+year,#survey+id,#indicator+code,,,,,,,#indicator+label+code,#indicator+label,,,,,,,,,,
MWI,419193,Children with diarrhea,28.8,1,MW,Malawi,1992,MW1992DHS,CH_DIAR_C_DIA,94066010,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,CHDIARCDIA,,1992,DHS,2421,2409,,
MWI,312654,Children with diarrhea,21.7,1,MW,Malawi,1992,MW1992DHS,CH_DIAR_C_DIA,94066010,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CHDIARCDIA,,1992,DHS,3789,3744,,
MWI,419199,Children with diarrhea with blood in the stools,4.8,1,MW,Malawi,1992,MW1992DHS,CH_DIAR_C_DIB,94066020,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,CHDIARCDIB,,1992,DHS,2421,2409,,
MWI,312655,Children with diarrhea with blood in the stools,4.1,1,MW,Malawi,1992,MW1992DHS,CH_DIAR_C_DIB,94066020,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CHDIARCDIB,,1992,DHS,3789,3744,,
MWI,435795,Number of children born in the last five (or three) years,2421,0,MW,Malawi,1992,MW1992DHS,CH_DIAR_C_NUM,94066030,D,1000,0,Total,Total,14000,Three years preceding the survey,1,0,CHDIARCNUM,,1992,DHS,,2409,,
MWI,176077,Number of children born in the last five (or three) years,3789,0,MW,Malawi,1992,MW1992DHS,CH_DIAR_C_NUM,94066030,D,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CHDIARCNUM,,1992,DHS,,3744,,
MWI,323099,Number of children born in the last five (or three) years (unweighted),2409,0,MW,Malawi,1992,MW1992DHS,CH_DIAR_C_UNW,94066040,U,1000,0,Total,Total,14000,Three years preceding the survey,1,0,CHDIARCUNW,,1992,DHS,2421,,,
MWI,312653,Number of children born in the last five (or three) years (unweighted),3744,0,MW,Malawi,1992,MW1992DHS,CH_DIAR_C_UNW,94066040,U,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CHDIARCUNW,,1992,DHS,3789,,,
MWI,303849,Treatment of diarrhea: Taken to a health facility,49.9,1,MW,Malawi,1992,MW1992DHS,CH_DIAT_C_ADV,94106010,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,CHDIATCADV,,1992,DHS,697,692,,
MWI,202643,Treatment of diarrhea: Taken to a health facility,49,1,MW,Malawi,1992,MW1992DHS,CH_DIAT_C_ADV,94106010,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CHDIATCADV,,1992,DHS,821,814,,
MWI,303856,Treatment of diarrhea: Oral rehydration solution (ORS),43.4,1,MW,Malawi,1992,MW1992DHS,CH_DIAT_C_ORS,94106020,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,CHDIATCORS,,1992,DHS,697,692,,
MWI,202644,Treatment of diarrhea: Oral rehydration solution (ORS),43.2,1,MW,Malawi,1992,MW1992DHS,CH_DIAT_C_ORS,94106020,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CHDIATCORS,,1992,DHS,821,814,,
MWI,303857,Treatment of diarrhea: Recommended home fluids (RHF) at home,39.5,1,MW,Malawi,1992,MW1992DHS,CH_DIAT_C_RHF,94106030,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,CHDIATCRHF,,1992,DHS,697,692,,
MWI,202645,Treatment of diarrhea: Recommended home fluids (RHF) at home,38.8,1,MW,Malawi,1992,MW1992DHS,CH_DIAT_C_RHF,94106030,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CHDIATCRHF,,1992,DHS,821,814,,
MWI,303858,Treatment of diarrhea: Either ORS or RHF,64.6,1,MW,Malawi,1992,MW1992DHS,CH_DIAT_C_ORT,94106040,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,CHDIATCORT,,1992,DHS,697,692,,
