date,cmname,unit,category,price,currency,country,admname,adm1id,mktname,longitude,latitude,mktid,cmid,ptid,umid,catid,sn,event
15/01/2010,Maize - Retail,KG,cereals and tubers,45.85,MWK,Malawi,Southern Region,1890,Liwonde,,,782,51,15,5,1,782_51_15_5,
15/01/2010,Rice (imported) - Retail,KG,cereals and tubers,18500,SOS,Malawi,Southern Region,1890,Marka,35.222854,-17.1195463,2128,64,15,5,1,2128_64_15_5,
15/01/2010,Maize (white) - Retail,KG,cereals and tubers,8417,SOS,Malawi,Southern Region,1890,Marka,35.222854,-17.1195463,2128,67,15,5,1,2128_67_15_5,
15/01/2010,Sorghum (red) - Retail,KG,cereals and tubers,7750,SOS,Malawi,Southern Region,1890,Marka,35.222854,-17.1195463,2128,282,15,5,1,2128_282_15_5,
15/01/2010,Maize - Retail,KG,cereals and tubers,49.79,MWK,Malawi,Southern Region,1890,Nsanje,35.2219296,-16.9196735,2193,51,15,5,1,2193_51_15_5,
15/02/2010,Maize - Retail,KG,cereals and tubers,48.67,MWK,Malawi,Southern Region,1890,Liwonde,,,782,51,15,5,1,782_51_15_5,
15/02/2010,Rice (imported) - Retail,KG,cereals and tubers,16667,SOS,Malawi,Southern Region,1890,Marka,35.222854,-17.1195463,2128,64,15,5,1,2128_64_15_5,
15/02/2010,Maize (white) - Retail,KG,cereals and tubers,8000,SOS,Malawi,Southern Region,1890,Marka,35.222854,-17.1195463,2128,67,15,5,1,2128_67_15_5,
15/02/2010,Sorghum (red) - Retail,KG,cereals and tubers,8333,SOS,Malawi,Southern Region,1890,Marka,35.222854,-17.1195463,2128,282,15,5,1,2128_282_15_5,
15/02/2010,Maize - Retail,KG,cereals and tubers,51.35,MWK,Malawi,Southern Region,1890,Nsanje,35.2219296,-16.9196735,2193,51,15,5,1,2193_51_15_5,
15/03/2010,Maize - Retail,KG,cereals and tubers,46.02,MWK,Malawi,Southern Region,1890,Liwonde,,,782,51,15,5,1,782_51_15_5,
15/03/2010,Rice (imported) - Retail,KG,cereals and tubers,17000,SOS,Malawi,Southern Region,1890,Marka,35.222854,-17.1195463,2128,64,15,5,1,2128_64_15_5,
15/03/2010,Maize (white) - Retail,KG,cereals and tubers,8333,SOS,Malawi,Southern Region,1890,Marka,35.222854,-17.1195463,2128,67,15,5,1,2128_67_15_5,
15/03/2010,Sorghum (red) - Retail,KG,cereals and tubers,7111,SOS,Malawi,Southern Region,1890,Marka,35.222854,-17.1195463,2128,282,15,5,1,2128_282_15_5,
15/03/2010,Maize - Retail,KG,cereals and tubers,44.78,MWK,Malawi,Southern Region,1890,Nsanje,35.2219296,-16.9196735,2193,51,15,5,1,2193_51_15_5,
15/04/2010,Maize - Retail,KG,cereals and tubers,38.7867,MWK,Malawi,Southern Region,1890,Balaka,34.864021,-14.9216,763,51,15,5,1,763_51_15_5,
15/04/2010,Maize - Retail,KG,cereals and tubers,37.78,MWK,Malawi,Southern Region,1890,Bangula,35.12004,-16.57306,764,51,15,5,1,764_51_15_5,
15/04/2010,Maize - Retail,KG,cereals and tubers,46.11,MWK,Malawi,Southern Region,1890,Bvumbwe,35.072479,-15.92559,767,51,15,5,1,767_51_15_5,
15/04/2010,Maize - Retail,KG,cereals and tubers,32.78,MWK,Malawi,Southern Region,1890,Chikwawa,35.284061,-16.759319,769,51,15,5,1,769_51_15_5,
15/04/2010,Maize - Retail,KG,cereals and tubers,41.0367,MWK,Malawi,Southern Region,1890,Chiradzulu,35.18095,-15.70577,773,51,15,5,1,773_51_15_5,
15/04/2010,Maize - Retail,KG,cereals and tubers,41.36,MWK,Malawi,Southern Region,1890,Jali,35.469002,-15.49255,778,51,15,5,1,778_51_15_5,
15/04/2010,Maize - Retail,KG,cereals and tubers,40,MWK,Malawi,Southern Region,1890,Limbe,35.0574,-15.8084,781,51,15,5,1,781_51_15_5,
15/04/2010,Maize - Retail,KG,cereals and tubers,42.4567,MWK,Malawi,Southern Region,1890,Liwonde,,,782,51,15,5,1,782_51_15_5,
15/04/2010,Maize - Retail,KG,cereals and tubers,34.38,MWK,Malawi,Southern Region,1890,Luchenza,35.3082,-16.0101,783,51,15,5,1,783_51_15_5,
15/04/2010,Maize - Retail,KG,cereals and tubers,39.6675,MWK,Malawi,Southern Region,1890,Lunzu,35.0195,-15.6527,784,51,15,5,1,784_51_15_5,
15/04/2010,Maize - Retail,KG,cereals and tubers,50.045,MWK,Malawi,Southern Region,1890,Mangochi,35.2533,-14.4862,787,51,15,5,1,787_51_15_5,
15/04/2010,Maize - Retail,KG,cereals and tubers,44,MWK,Malawi,Southern Region,1890,Mayaka,35.3333,-15.3833,788,51,15,5,1,788_51_15_5,
15/04/2010,Maize - Retail,KG,cereals and tubers,39.975,MWK,Malawi,Southern Region,1890,Monkey Bay,34.91652,-14.08239,793,51,15,5,1,793_51_15_5,
15/04/2010,Maize - Retail,KG,cereals and tubers,34.075,MWK,Malawi,Southern Region,1890,Muloza,35.7338,-16.0779,797,51,15,5,1,797_51_15_5,
15/04/2010,Maize - Retail,KG,cereals and tubers,47.6125,MWK,Malawi,Southern Region,1890,Mwanza,34.5141,-15.5998,799,51,15,5,1,799_51_15_5,
15/04/2010,Maize - Retail,KG,cereals and tubers,37.185,MWK,Malawi,Southern Region,1890,Namwera,35.4837,-14.3472,802,51,15,5,1,802_51_15_5,
15/04/2010,Maize - Retail,KG,cereals and tubers,29.55,MWK,Malawi,Southern Region,1890,Nchalo,34.8707,-16.2716,804,51,15,5,1,804_51_15_5,
15/04/2010,Maize - Retail,KG,cereals and tubers,34.37,MWK,Malawi,Southern Region,1890,Neno,34.575,-15.6851,805,51,15,5,1,805_51_15_5,
15/04/2010,Maize - Retail,KG,cereals and tubers,41.685,MWK,Malawi,Southern Region,1890,Ngabu,34.8693,-16.4405,806,51,15,5,1,806_51_15_5,
15/04/2010,Maize - Retail,KG,cereals and tubers,38.92,MWK,Malawi,Southern Region,1890,Sorgin,35.2533,-16.9206,811,51,15,5,1,811_51_15_5,
15/04/2010,Maize - Retail,KG,cereals and tubers,34.475,MWK,Malawi,Southern Region,1890,Ntaja,35.5302,-14.8741,813,51,15,5,1,813_51_15_5,
