adm1id,admname,category,catid,cmid,cmname,cmnameshort,country,currency,date,default,interpolated,label,mktid,mktname,price,ptid,scaling,sn,umid,unit,x,year
#adm1+code,#adm1+name,#item+type,#item+type+code,#item+code,#item+name,#item+name+short,#country+name,#currency,#date,,,#item+label,,#name+market,#value,,,#meta+id,,#item+unit,,0.0
1890.0,Southern Region,pulses and nuts,5,50,Beans - Retail,Beans,Malawi,MWK,2014-01-15,,0.0,Beans - Retail (KG),778.0,Jali,466.29,15.0,1.0,778_50_15_5,5.0,KG,1389744000.0,2014.0
,,pulses and nuts,5,50,Beans - Retail,Beans,,,2014-02-15,,1.0,Beans - Retail (KG),,,458.6106111111111,,1.0,,,KG,,
,,pulses and nuts,5,50,Beans - Retail,Beans,,,2014-03-15,,1.0,Beans - Retail (KG),,,451.67438888888887,,1.0,,,KG,,
1890.0,Southern Region,pulses and nuts,5,50,Beans - Retail,Beans,Malawi,MWK,2014-04-15,,0.0,Beans - Retail (KG),763.0,Balaka,443.995,15.0,1.0,763_50_15_5,5.0,KG,1397520000.0,2014.0
,,pulses and nuts,5,50,Beans - Retail,Beans,,,2014-05-15,,1.0,Beans - Retail (KG),,,440.8391176470588,,1.0,,,KG,,
,,pulses and nuts,5,50,Beans - Retail,Beans,,,2014-06-15,,1.0,Beans - Retail (KG),,,437.57803921568626,,1.0,,,KG,,
,,pulses and nuts,5,50,Beans - Retail,Beans,,,2014-07-15,,1.0,Beans - Retail (KG),,,434.4221568627451,,1.0,,,KG,,
,,pulses and nuts,5,50,Beans - Retail,Beans,,,2014-08-15,,1.0,Beans - Retail (KG),,,431.1610784313725,,1.0,,,KG,,
1888.0,Central Region,pulses and nuts,5,50,Beans - Retail,Beans,Malawi,MWK,2014-09-15,,0.0,Beans - Retail (KG),833.0,Tsangano turn off,427.9,15.0,1.0,833_50_15_5,5.0,KG,1410739200.0,2014.0
1889.0,Northern Region,pulses and nuts,5,50,Beans - Retail,Beans,Malawi,MWK,2014-10-15,,0.0,Beans - Retail (KG),818.0,Rumphi,480.425,15.0,1.0,818_50_15_5,5.0,KG,1413331200.0,2014.0
,,pulses and nuts,5,50,Beans - Retail,Beans,,,2014-11-15,,1.0,Beans - Retail (KG),,,488.6044262295082,,1.0,,,KG,,
1888.0,Central Region,pulses and nuts,5,50,Beans - Retail,Beans,Malawi,MWK,2014-12-15,,0.0,Beans - Retail (KG),798.0,Mwansambo,496.52,15.0,1.0,798_50_15_5,5.0,KG,1418601600.0,2014.0
1890.0,Southern Region,pulses and nuts,5,50,Beans - Retail,Beans,Malawi,MWK,2015-01-15,,0.0,Beans - Retail (KG),763.0,Balaka,507.7067,15.0,1.0,763_50_15_5,5.0,KG,1421280000.0,2015.0
1888.0,Central Region,pulses and nuts,5,50,Beans - Retail,Beans,Malawi,MWK,2015-02-15,,0.0,Beans - Retail (KG),822.0,Thete,600.0,15.0,1.0,822_50_15_5,5.0,KG,1423958400.0,2015.0
,,pulses and nuts,5,50,Beans - Retail,Beans,,,2015-03-15,,1.0,Beans - Retail (KG),,,557.1348314606741,,1.0,,,KG,,
,,pulses and nuts,5,50,Beans - Retail,Beans,,,2015-04-15,,1.0,Beans - Retail (KG),,,509.6769662921348,,1.0,,,KG,,
1888.0,Central Region,pulses and nuts,5,50,Beans - Retail,Beans,Malawi,MWK,2015-05-15,,0.0,Beans - Retail (KG),809.0,Nkhoma,463.75,15.0,1.0,809_50_15_5,5.0,KG,1431648000.0,2015.0
1888.0,Central Region,pulses and nuts,5,50,Beans - Retail,Beans,Malawi,MWK,2015-06-15,,0.0,Beans - Retail (KG),791.0,Mitundu,516.4625,15.0,1.0,791_50_15_5,5.0,KG,1434326400.0,2015.0
1888.0,Central Region,pulses and nuts,5,50,Beans - Retail,Beans,Malawi,MWK,2015-07-15,,0.0,Beans - Retail (KG),791.0,Mitundu,522.878,15.0,1.0,791_50_15_5,5.0,KG,1436918400.0,2015.0
1890.0,Southern Region,pulses and nuts,5,50,Beans - Retail,Beans,Malawi,MWK,2015-08-15,,0.0,Beans - Retail (KG),793.0,Monkey Bay,519.215,15.0,1.0,793_50_15_5,5.0,KG,1439596800.0,2015.0
1889.0,Northern Region,pulses and nuts,5,50,Beans - Retail,Beans,Malawi,MWK,2015-09-15,,0.0,Beans - Retail (KG),801.0,Mzuzu,518.42,15.0,1.0,801_50_15_5,5.0,KG,1442275200.0,2015.0
1888.0,Central Region,pulses and nuts,5,50,Beans - Retail,Beans,Malawi,MWK,2015-10-15,,0.0,Beans - Retail (KG),822.0,Thete,462.43,15.0,1.0,822_50_15_5,5.0,KG,1444867200.0,2015.0
1890.0,Southern Region,pulses and nuts,5,50,Beans - Retail,Beans,Malawi,MWK,2015-11-15,,0.0,Beans - Retail (KG),773.0,Chiradzulu,460.8,15.0,1.0,773_50_15_5,5.0,KG,1447545600.0,2015.0
1888.0,Central Region,pulses and nuts,5,50,Beans - Retail,Beans,Malawi,MWK,2015-12-15,,0.0,Beans - Retail (KG),795.0,Mponela,614.19,15.0,1.0,795_50_15_5,5.0,KG,1450137600.0,2015.0
1890.0,Southern Region,pulses and nuts,5,50,Beans - Retail,Beans,Malawi,MWK,2016-01-15,,0.0,Beans - Retail (KG),767.0,Bvumbwe,670.8875,15.0,1.0,767_50_15_5,5.0,KG,1452816000.0,2016.0
1890.0,Southern Region,pulses and nuts,5,50,Beans - Retail,Beans,Malawi,MWK,2016-02-15,,0.0,Beans - Retail (KG),793.0,Monkey Bay,691.0975,15.0,1.0,793_50_15_5,5.0,KG,1455494400.0,2016.0
1888.0,Central Region,pulses and nuts,5,50,Beans - Retail,Beans,Malawi,MWK,2016-03-15,,0.0,Beans - Retail (KG),768.0,Chatoloma,666.66,15.0,1.0,768_50_15_5,5.0,KG,1458000000.0,2016.0
1890.0,Southern Region,pulses and nuts,5,50,Beans - Retail,Beans,Malawi,MWK,2016-04-15,,0.0,Beans - Retail (KG),813.0,Ntaja,647.6867,15.0,1.0,813_50_15_5,5.0,KG,1460678400.0,2016.0
1890.0,Southern Region,pulses and nuts,5,50,Beans - Retail,Beans,Malawi,MWK,2016-05-15,,0.0,Beans - Retail (KG),813.0,Ntaja,650.7775,15.0,1.0,813_50_15_5,5.0,KG,1463270400.0,2016.0
1890.0,Southern Region,pulses and nuts,5,50,Beans - Retail,Beans,Malawi,MWK,2016-06-15,,0.0,Beans - Retail (KG),782.0,Liwonde,679.66,15.0,1.0,782_50_15_5,5.0,KG,1465948800.0,2016.0
1889.0,Northern Region,pulses and nuts,5,50,Beans - Retail,Beans,Malawi,MWK,2016-07-15,,0.0,Beans - Retail (KG),818.0,Rumphi,721.91,15.0,1.0,818_50_15_5,5.0,KG,1468540800.0,2016.0
1889.0,Northern Region,pulses and nuts,5,50,Beans - Retail,Beans,Malawi,MWK,2016-08-15,,0.0,Beans - Retail (KG),808.0,Nkhata Bay,753.78,15.0,1.0,808_50_15_5,5.0,KG,1471219200.0,2016.0
1888.0,Central Region,pulses and nuts,5,50,Beans - Retail,Beans,Malawi,MWK,2016-09-15,,0.0,Beans - Retail (KG),809.0,Nkhoma,784.2625,15.0,1.0,809_50_15_5,5.0,KG,1473897600.0,2016.0
1889.0,Northern Region,pulses and nuts,5,50,Beans - Retail,Beans,Malawi,MWK,2016-10-15,,0.0,Beans - Retail (KG),808.0,Nkhata Bay,784.2867,15.0,1.0,808_50_15_5,5.0,KG,1476489600.0,2016.0
1888.0,Central Region,pulses and nuts,5,50,Beans - Retail,Beans,Malawi,MWK,2016-11-15,,0.0,Beans - Retail (KG),833.0,Tsangano turn off,770.36,15.0,1.0,833_50_15_5,5.0,KG,1479168000.0,2016.0
1890.0,Southern Region,pulses and nuts,5,50,Beans - Retail,Beans,Malawi,MWK,2016-12-15,,0.0,Beans - Retail (KG),778.0,Jali,850.54,15.0,1.0,778_50_15_5,5.0,KG,1481760000.0,2016.0
1890.0,Southern Region,pulses and nuts,5,50,Beans - Retail,Beans,Malawi,MWK,2017-01-15,,0.0,Beans - Retail (KG),784.0,Lunzu,996.3875,15.0,1.0,784_50_15_5,5.0,KG,1484438400.0,2017.0
1890.0,Southern Region,pulses and nuts,5,50,Beans - Retail,Beans,Malawi,MWK,2017-02-15,,0.0,Beans - Retail (KG),811.0,Sorgin,885.25,15.0,1.0,811_50_15_5,5.0,KG,1487116800.0,2017.0
1888.0,Central Region,pulses and nuts,5,50,Beans - Retail,Beans,Malawi,MWK,2017-03-15,,0.0,Beans - Retail (KG),812.0,Nsundwe,770.422,15.0,1.0,812_50_15_5,5.0,KG,1489536000.0,2017.0
1888.0,Central Region,pulses and nuts,5,50,Beans - Retail,Beans,Malawi,MWK,2017-04-15,,0.0,Beans - Retail (KG),809.0,Nkhoma,636.6667,15.0,1.0,809_50_15_5,5.0,KG,1492214400.0,2017.0
1888.0,Central Region,pulses and nuts,5,50,Beans - Retail,Beans,Malawi,MWK,2017-05-15,,0.0,Beans - Retail (KG),768.0,Chatoloma,998.26,15.0,1.0,768_50_15_5,5.0,KG,1494806400.0,2017.0
1890.0,Southern Region,pulses and nuts,5,50,Beans - Retail,Beans,Malawi,MWK,2017-06-15,,0.0,Beans - Retail (KG),763.0,Balaka,654.6433,15.0,1.0,763_50_15_5,5.0,KG,1497484800.0,2017.0
1890.0,Southern Region,pulses and nuts,5,50,Beans - Retail,Beans,Malawi,MWK,2017-07-15,,0.0,Beans - Retail (KG),787.0,Mangochi,622.9375,15.0,1.0,787_50_15_5,5.0,KG,1500076800.0,2017.0
1890.0,Southern Region,pulses and nuts,5,50,Beans - Retail,Beans,Malawi,MWK,2017-08-15,,0.0,Beans - Retail (KG),817.0,Phalombe,650.0,15.0,1.0,817_50_15_5,5.0,KG,1502755200.0,2017.0
1890.0,Southern Region,pulses and nuts,5,50,Beans - Retail,Beans,Malawi,MWK,2017-09-15,,0.0,Beans - Retail (KG),763.0,Balaka,675.0,15.0,1.0,763_50_15_5,5.0,KG,1505433600.0,2017.0
1890.0,Southern Region,pulses and nuts,5,50,Beans - Retail,Beans,Malawi,MWK,2017-10-15,,0.0,Beans - Retail (KG),788.0,Mayaka,703.3233,15.0,1.0,788_50_15_5,5.0,KG,1508025600.0,2017.0
1890.0,Southern Region,pulses and nuts,5,50,Beans - Retail,Beans,Malawi,MWK,2017-11-15,,0.0,Beans - Retail (KG),784.0,Lunzu,678.474,15.0,1.0,784_50_15_5,5.0,KG,1510704000.0,2017.0
1888.0,Central Region,pulses and nuts,5,50,Beans - Retail,Beans,Malawi,MWK,2017-12-15,,0.0,Beans - Retail (KG),833.0,Tsangano turn off,700.24,15.0,1.0,833_50_15_5,5.0,KG,1513296000.0,2017.0
1888.0,Central Region,pulses and nuts,5,50,Beans - Retail,Beans,Malawi,MWK,2018-01-15,,0.0,Beans - Retail (KG),768.0,Chatoloma,765.3333,15.0,1.0,768_50_15_5,5.0,KG,1515974400.0,2018.0
1888.0,Central Region,pulses and nuts,5,50,Beans - Retail,Beans,Malawi,MWK,2018-02-15,,0.0,Beans - Retail (KG),812.0,Nsundwe,760.5525,15.0,1.0,812_50_15_5,5.0,KG,1518652800.0,2018.0
1890.0,Southern Region,pulses and nuts,5,50,Beans - Retail,Beans,Malawi,MWK,2018-03-15,,0.0,Beans - Retail (KG),787.0,Mangochi,733.04,15.0,1.0,787_50_15_5,5.0,KG,1521072000.0,2018.0
1890.0,Southern Region,pulses and nuts,5,50,Beans - Retail,Beans,Malawi,MWK,2018-04-15,,0.0,Beans - Retail (KG),787.0,Mangochi,717.1375,15.0,1.0,787_50_15_5,5.0,KG,1523750400.0,2018.0
1888.0,Central Region,pulses and nuts,5,50,Beans - Retail,Beans,Malawi,MWK,2018-05-15,,0.0,Beans - Retail (KG),798.0,Mwansambo,736.33,15.0,1.0,798_50_15_5,5.0,KG,1526342400.0,2018.0
1890.0,Southern Region,pulses and nuts,5,50,Beans - Retail,Beans,Malawi,MWK,2018-06-15,,0.0,Beans - Retail (KG),787.0,Mangochi,654.78,15.0,1.0,787_50_15_5,5.0,KG,1529020800.0,2018.0
1890.0,Southern Region,pulses and nuts,5,50,Beans - Retail,Beans,Malawi,MWK,2018-07-15,,0.0,Beans - Retail (KG),784.0,Lunzu,698.325,15.0,1.0,784_50_15_5,5.0,KG,1531612800.0,2018.0
1888.0,Central Region,pulses and nuts,5,50,Beans - Retail,Beans,Malawi,MWK,2018-08-15,,0.0,Beans - Retail (KG),819.0,Salima,710.4475,15.0,1.0,819_50_15_5,5.0,KG,1534291200.0,2018.0
1890.0,Southern Region,pulses and nuts,5,50,Beans - Retail,Beans,Malawi,MWK,2018-09-15,,0.0,Beans - Retail (KG),787.0,Mangochi,706.37,15.0,1.0,787_50_15_5,5.0,KG,1536969600.0,2018.0
1890.0,Southern Region,pulses and nuts,5,50,Beans - Retail,Beans,Malawi,MWK,2018-10-15,,0.0,Beans - Retail (KG),787.0,Mangochi,690.8925,15.0,1.0,787_50_15_5,5.0,KG,1539561600.0,2018.0
1890.0,Southern Region,pulses and nuts,5,50,Beans - Retail,Beans,Malawi,MWK,2018-11-15,,0.0,Beans - Retail (KG),787.0,Mangochi,761.6825,15.0,1.0,787_50_15_5,5.0,KG,1542240000.0,2018.0
1889.0,Northern Region,pulses and nuts,5,50,Beans - Retail,Beans,Malawi,MWK,2018-12-15,,0.0,Beans - Retail (KG),777.0,Hewe,765.11,15.0,1.0,777_50_15_5,5.0,KG,1544832000.0,2018.0
1890.0,Southern Region,pulses and nuts,5,50,Beans - Retail,Beans,Malawi,MWK,2019-01-15,,0.0,Beans - Retail (KG),788.0,Mayaka,795.53,15.0,1.0,788_50_15_5,5.0,KG,1547510400.0,2019.0
1889.0,Northern Region,pulses and nuts,5,50,Beans - Retail,Beans,Malawi,MWK,2019-02-15,,0.0,Beans - Retail (KG),818.0,Rumphi,825.43,15.0,1.0,818_50_15_5,5.0,KG,1550188800.0,2019.0
1890.0,Southern Region,pulses and nuts,5,50,Beans - Retail,Beans,Malawi,MWK,2019-03-15,,0.0,Beans - Retail (KG),787.0,Mangochi,801.1125,15.0,1.0,787_50_15_5,5.0,KG,1552608000.0,2019.0
1888.0,Central Region,pulses and nuts,5,50,Beans - Retail,Beans,Malawi,MWK,2019-04-15,,0.0,Beans - Retail (KG),819.0,Salima,720.2975,15.0,1.0,819_50_15_5,5.0,KG,1555286400.0,2019.0
1888.0,Central Region,pulses and nuts,5,50,Beans - Retail,Beans,Malawi,MWK,2019-05-15,,0.0,Beans - Retail (KG),2224.0,Golomoti,700.0,15.0,1.0,2224_50_15_5,5.0,KG,1557878400.0,2019.0
1888.0,Central Region,pulses and nuts,5,50,Beans - Retail,Beans,Malawi,MWK,2019-06-15,,0.0,Beans - Retail (KG),2116.0,Waliranji,762.5,15.0,1.0,2116_50_15_5,5.0,KG,1560556800.0,2019.0
1890.0,Southern Region,pulses and nuts,5,50,Beans - Retail,Beans,Malawi,MWK,2019-07-15,,0.0,Beans - Retail (KG),2124.0,Dyelatu,779.1667,15.0,1.0,2124_50_15_5,5.0,KG,1563148800.0,2019.0
1890.0,Southern Region,pulses and nuts,5,50,Beans - Retail,Beans,Malawi,MWK,2019-08-15,,0.0,Beans - Retail (KG),797.0,Muloza,761.375,15.0,1.0,797_50_15_5,5.0,KG,1565827200.0,2019.0
1890.0,Southern Region,pulses and nuts,5,50,Beans - Retail,Beans,Malawi,MWK,2019-09-15,,0.0,Beans - Retail (KG),797.0,Muloza,697.5,15.0,1.0,797_50_15_5,5.0,KG,1568505600.0,2019.0
1890.0,Southern Region,pulses and nuts,5,50,Beans - Retail,Beans,Malawi,MWK,2019-10-15,,0.0,Beans - Retail (KG),784.0,Lunzu,793.545,15.0,1.0,784_50_15_5,5.0,KG,1571097600.0,2019.0
1888.0,Central Region,pulses and nuts,5,50,Beans - Retail,Beans,Malawi,MWK,2019-11-15,,0.0,Beans - Retail (KG),775.0,Dwangwa,800.0,15.0,1.0,775_50_15_5,5.0,KG,1573776000.0,2019.0
1890.0,Southern Region,pulses and nuts,5,50,Beans - Retail,Beans,Malawi,MWK,2019-12-15,,0.0,Beans - Retail (KG),763.0,Balaka,829.16,15.0,1.0,763_50_15_5,5.0,KG,1576368000.0,2019.0
1888.0,Central Region,cereals and tubers,1,68,Cassava - Retail,Cassava,Malawi,MWK,2014-01-15,,0.0,Cassava - Retail (KG),771.0,Chimbiya,111.46,15.0,1.0,771_68_15_5,5.0,KG,1389744000.0,2014.0
,,cereals and tubers,1,68,Cassava - Retail,Cassava,,,2014-02-15,,1.0,Cassava - Retail (KG),,,113.32430555555555,,1.0,,,KG,,
,,cereals and tubers,1,68,Cassava - Retail,Cassava,,,2014-03-15,,1.0,Cassava - Retail (KG),,,115.00819444444444,,1.0,,,KG,,
1889.0,Northern Region,cereals and tubers,1,68,Cassava - Retail,Cassava,Malawi,MWK,2014-04-15,,0.0,Cassava - Retail (KG),801.0,Mzuzu,116.8725,15.0,1.0,801_68_15_5,5.0,KG,1397520000.0,2014.0
,,cereals and tubers,1,68,Cassava - Retail,Cassava,,,2014-05-15,,1.0,Cassava - Retail (KG),,,117.55979508196721,,1.0,,,KG,,
1889.0,Northern Region,cereals and tubers,1,68,Cassava - Retail,Cassava,Malawi,MWK,2014-06-15,,0.0,Cassava - Retail (KG),801.0,Mzuzu,118.27,15.0,1.0,801_68_15_5,5.0,KG,1402790400.0,2014.0
,,cereals and tubers,1,68,Cassava - Retail,Cassava,,,2014-07-15,,1.0,Cassava - Retail (KG),,,116.80097826086956,,1.0,,,KG,,
,,cereals and tubers,1,68,Cassava - Retail,Cassava,,,2014-08-15,,1.0,Cassava - Retail (KG),,,115.28298913043479,,1.0,,,KG,,
1889.0,Northern Region,cereals and tubers,1,68,Cassava - Retail,Cassava,Malawi,MWK,2014-09-15,,0.0,Cassava - Retail (KG),794.0,Mpamba,113.765,15.0,1.0,794_68_15_5,5.0,KG,1410739200.0,2014.0
1888.0,Central Region,cereals and tubers,1,68,Cassava - Retail,Cassava,Malawi,MWK,2014-10-15,,0.0,Cassava - Retail (KG),796.0,Mtakataka,124.56,15.0,1.0,796_68_15_5,5.0,KG,1413331200.0,2014.0
1889.0,Northern Region,cereals and tubers,1,68,Cassava - Retail,Cassava,Malawi,MWK,2014-11-15,,0.0,Cassava - Retail (KG),801.0,Mzuzu,253.24,15.0,1.0,801_68_15_5,5.0,KG,1416009600.0,2014.0
1888.0,Central Region,cereals and tubers,1,68,Cassava - Retail,Cassava,Malawi,MWK,2014-12-15,,0.0,Cassava - Retail (KG),785.0,Madisi,125.33,15.0,1.0,785_68_15_5,5.0,KG,1418601600.0,2014.0
1889.0,Northern Region,cereals and tubers,1,68,Cassava - Retail,Cassava,Malawi,MWK,2015-01-15,,0.0,Cassava - Retail (KG),794.0,Mpamba,142.57,15.0,1.0,794_68_15_5,5.0,KG,1421280000.0,2015.0
