date,cmname,unit,category,price,currency,country,admname,adm1id,mktname,mktid,cmid,ptid,umid,catid,sn,default
15/06/2012,Beans - Retail,KG,pulses and nuts,300,MWK,Malawi,Central Region,1888,Bembeke turn off,765,50,15,5,5,765_50_15_5,
15/07/2012,Beans - Retail,KG,pulses and nuts,280,MWK,Malawi,Central Region,1888,Bembeke turn off,765,50,15,5,5,765_50_15_5,
15/08/2012,Beans - Retail,KG,pulses and nuts,280,MWK,Malawi,Central Region,1888,Bembeke turn off,765,50,15,5,5,765_50_15_5,
15/09/2012,Beans - Retail,KG,pulses and nuts,280,MWK,Malawi,Central Region,1888,Bembeke turn off,765,50,15,5,5,765_50_15_5,
15/10/2012,Beans - Retail,KG,pulses and nuts,235,MWK,Malawi,Central Region,1888,Bembeke turn off,765,50,15,5,5,765_50_15_5,
15/11/2012,Beans - Retail,KG,pulses and nuts,281.67,MWK,Malawi,Central Region,1888,Bembeke turn off,765,50,15,5,5,765_50_15_5,
15/12/2012,Beans - Retail,KG,pulses and nuts,285,MWK,Malawi,Central Region,1888,Bembeke turn off,765,50,15,5,5,765_50_15_5,
15/01/2013,Beans - Retail,KG,pulses and nuts,300,MWK,Malawi,Central Region,1888,Bembeke turn off,765,50,15,5,5,765_50_15_5,
15/02/2013,Beans - Retail,KG,pulses and nuts,261.04,MWK,Malawi,Central Region,1888,Bembeke turn off,765,50,15,5,5,765_50_15_5,
15/03/2013,Beans - Retail,KG,pulses and nuts,325,MWK,Malawi,Central Region,1888,Bembeke turn off,765,50,15,5,5,765_50_15_5,
15/04/2013,Beans - Retail,KG,pulses and nuts,245,MWK,Malawi,Central Region,1888,Bembeke turn off,765,50,15,5,5,765_50_15_5,
15/05/2013,Beans - Retail,KG,pulses and nuts,251.77,MWK,Malawi,Central Region,1888,Bembeke turn off,765,50,15,5,5,765_50_15_5,
15/06/2013,Beans - Retail,KG,pulses and nuts,335,MWK,Malawi,Central Region,1888,Bembeke turn off,765,50,15,5,5,765_50_15_5,
15/07/2013,Beans - Retail,KG,pulses and nuts,306.25,MWK,Malawi,Central Region,1888,Bembeke turn off,765,50,15,5,5,765_50_15_5,
15/08/2013,Beans - Retail,KG,pulses and nuts,306.25,MWK,Malawi,Central Region,1888,Bembeke turn off,765,50,15,5,5,765_50_15_5,
15/09/2013,Beans - Retail,KG,pulses and nuts,364.17,MWK,Malawi,Central Region,1888,Bembeke turn off,765,50,15,5,5,765_50_15_5,
15/10/2013,Beans - Retail,KG,pulses and nuts,347.6,MWK,Malawi,Central Region,1888,Bembeke turn off,765,50,15,5,5,765_50_15_5,
15/11/2013,Beans - Retail,KG,pulses and nuts,350.41,MWK,Malawi,Central Region,1888,Bembeke turn off,765,50,15,5,5,765_50_15_5,
15/12/2013,Beans - Retail,KG,pulses and nuts,351.85,MWK,Malawi,Central Region,1888,Bembeke turn off,765,50,15,5,5,765_50_15_5,
15/01/2014,Beans - Retail,KG,pulses and nuts,359.77,MWK,Malawi,Central Region,1888,Bembeke turn off,765,50,15,5,5,765_50_15_5,
15/09/2014,Beans - Retail,KG,pulses and nuts,345,MWK,Malawi,Central Region,1888,Bembeke turn off,765,50,15,5,5,765_50_15_5,
15/12/2014,Beans - Retail,KG,pulses and nuts,450,MWK,Malawi,Central Region,1888,Bembeke turn off,765,50,15,5,5,765_50_15_5,
15/01/2015,Beans - Retail,KG,pulses and nuts,500,MWK,Malawi,Central Region,1888,Bembeke turn off,765,50,15,5,5,765_50_15_5,
15/06/2015,Beans - Retail,KG,pulses and nuts,380,MWK,Malawi,Central Region,1888,Bembeke turn off,765,50,15,5,5,765_50_15_5,
15/08/2015,Beans - Retail,KG,pulses and nuts,435,MWK,Malawi,Central Region,1888,Bembeke turn off,765,50,15,5,5,765_50_15_5,
15/11/2015,Beans - Retail,KG,pulses and nuts,448.125,MWK,Malawi,Central Region,1888,Bembeke turn off,765,50,15,5,5,765_50_15_5,
15/01/2016,Beans - Retail,KG,pulses and nuts,550,MWK,Malawi,Central Region,1888,Bembeke turn off,765,50,15,5,5,765_50_15_5,
15/02/2016,Beans - Retail,KG,pulses and nuts,550,MWK,Malawi,Central Region,1888,Bembeke turn off,765,50,15,5,5,765_50_15_5,
15/10/2016,Beans - Retail,KG,pulses and nuts,675.41,MWK,Malawi,Central Region,1888,Bembeke turn off,765,50,15,5,5,765_50_15_5,
15/11/2016,Beans - Retail,KG,pulses and nuts,698.155,MWK,Malawi,Central Region,1888,Bembeke turn off,765,50,15,5,5,765_50_15_5,
15/02/2017,Beans - Retail,KG,pulses and nuts,775.47,MWK,Malawi,Central Region,1888,Bembeke turn off,765,50,15,5,5,765_50_15_5,
15/07/2017,Beans - Retail,KG,pulses and nuts,372.85,MWK,Malawi,Central Region,1888,Bembeke turn off,765,50,15,5,5,765_50_15_5,
15/08/2017,Beans - Retail,KG,pulses and nuts,420,MWK,Malawi,Central Region,1888,Bembeke turn off,765,50,15,5,5,765_50_15_5,
15/09/2017,Beans - Retail,KG,pulses and nuts,443.295,MWK,Malawi,Central Region,1888,Bembeke turn off,765,50,15,5,5,765_50_15_5,
15/11/2017,Beans - Retail,KG,pulses and nuts,426.545,MWK,Malawi,Central Region,1888,Bembeke turn off,765,50,15,5,5,765_50_15_5,
15/07/2019,Beans - Retail,KG,pulses and nuts,700,MWK,Malawi,Central Region,1888,Bembeke turn off,765,50,15,5,5,765_50_15_5,
15/12/2019,Beans - Retail,KG,pulses and nuts,888.45,MWK,Malawi,Central Region,1888,Bembeke turn off,765,50,15,5,5,765_50_15_5,
15/07/2005,Maize - Retail,KG,cereals and tubers,19.035,MWK,Malawi,Central Region,1888,Bembeke turn off,765,51,15,5,1,765_51_15_5,
15/08/2005,Maize - Retail,KG,cereals and tubers,21.43,MWK,Malawi,Central Region,1888,Bembeke turn off,765,51,15,5,1,765_51_15_5,
15/09/2005,Maize - Retail,KG,cereals and tubers,23.47,MWK,Malawi,Central Region,1888,Bembeke turn off,765,51,15,5,1,765_51_15_5,
15/10/2005,Maize - Retail,KG,cereals and tubers,29.12,MWK,Malawi,Central Region,1888,Bembeke turn off,765,51,15,5,1,765_51_15_5,
15/11/2005,Maize - Retail,KG,cereals and tubers,28.9475,MWK,Malawi,Central Region,1888,Bembeke turn off,765,51,15,5,1,765_51_15_5,
15/12/2005,Maize - Retail,KG,cereals and tubers,30.49,MWK,Malawi,Central Region,1888,Bembeke turn off,765,51,15,5,1,765_51_15_5,
15/01/2006,Maize - Retail,KG,cereals and tubers,41.275,MWK,Malawi,Central Region,1888,Bembeke turn off,765,51,15,5,1,765_51_15_5,
15/02/2006,Maize - Retail,KG,cereals and tubers,51.5625,MWK,Malawi,Central Region,1888,Bembeke turn off,765,51,15,5,1,765_51_15_5,
15/03/2006,Maize - Retail,KG,cereals and tubers,43.744,MWK,Malawi,Central Region,1888,Bembeke turn off,765,51,15,5,1,765_51_15_5,
15/04/2006,Maize - Retail,KG,cereals and tubers,26,MWK,Malawi,Central Region,1888,Bembeke turn off,765,51,15,5,1,765_51_15_5,
15/05/2006,Maize - Retail,KG,cereals and tubers,11.7567,MWK,Malawi,Central Region,1888,Bembeke turn off,765,51,15,5,1,765_51_15_5,
15/06/2006,Maize - Retail,KG,cereals and tubers,14.75,MWK,Malawi,Central Region,1888,Bembeke turn off,765,51,15,5,1,765_51_15_5,
15/07/2006,Maize - Retail,KG,cereals and tubers,18.6667,MWK,Malawi,Central Region,1888,Bembeke turn off,765,51,15,5,1,765_51_15_5,
15/08/2006,Maize - Retail,KG,cereals and tubers,23.5975,MWK,Malawi,Central Region,1888,Bembeke turn off,765,51,15,5,1,765_51_15_5,
15/09/2006,Maize - Retail,KG,cereals and tubers,19.5,MWK,Malawi,Central Region,1888,Bembeke turn off,765,51,15,5,1,765_51_15_5,
15/10/2006,Maize - Retail,KG,cereals and tubers,20,MWK,Malawi,Central Region,1888,Bembeke turn off,765,51,15,5,1,765_51_15_5,
15/11/2006,Maize - Retail,KG,cereals and tubers,18.0767,MWK,Malawi,Central Region,1888,Bembeke turn off,765,51,15,5,1,765_51_15_5,
