CODE,NAME,COMMON NAME,OWNERSHIP,TYPE,STATUS,ZONE,DISTRICT,DATE OPENED,Year_Opened,LATITUDE,LONGITUDE
NN290328,Dambe,Dambe,Government,Health Centre,Functional,South East Zone,Neno,Apr 25th 2016,After-Flood,-15.6851,34.575
ZA231305,Sadzi Health Centre,Sadzi,Government,Health Centre,Functional,South West Zone,Zomba,Aug 1st 12,Before Flood,-15.40882,35.31969
BLK171117,Namanolo Health Centre,Namanolo,Government,Health Centre,Functional,South West Zone,Balaka,Aug 6th 86,Before Flood,-15.00071,35.19004
ZA230755,Machinjiri Health Centre,Joyce Banda,Government,Health Centre,Functional,South West Zone,Zomba,Dec 14th 08,Before Flood,-15.23666,35.41707
PE220453,Holy Family Mission,Banja loyera,Christian Health Association of Malawi (CHAM),Hospital,Functional,South West Zone,Phalombe,Dec 29th 60,Before Flood,-15.82471,35.61875
PE220263,Chiringa Maternity,Chiringa,Government,Unclassified,Functional,South West Zone,Phalombe,Dec 29th 74,Before Flood,-15.76583,35.76216
PE221122,Nambiti,Nambiti,Government,Health Post,Functional,South West Zone,Phalombe,Dec 29th 74,Before Flood,-15.80293,35.76392
PE220283,Chitekesa ,Chitekesa,Government,Health Centre,Functional,South West Zone,Phalombe,Dec 29th 75,Before Flood,-15.55218,35.57244
PE220264,Chiringa CHAM,Chiringa CHAM,Christian Health Association of Malawi (CHAM),Health Centre,Functional,South West Zone,Phalombe,Dec 29th 86,Before Flood,-15.77213,35.76965
PE221481,Waruma,Waruma,Government,Health Post,Functional,South West Zone,Phalombe,Dec 30th 00,Before Flood,-15.77085,35.55093
PE221052,Mulungu Alinafe ,Mulungu Alinafe,Private,Dispensary,Functional,South West Zone,Phalombe,Dec 30th 06,Before Flood,-15.85719,35.81552
MHG190194,Chikweo Health Centre,Chikweo,Government,Health Centre,Functional,South West Zone,Machinga,Dec 30th 74,Before Flood,-14.7655,35.66691
CZ260233,CHIMWAWA,Chimwawa,Government,Health Centre,Non-functional,South East Zone,Chiradzulu,Dec 30th 74,Before Flood,-15.909166,35.258729
CZ260261,Chiradzulu District Hospital,Chiradzulu District Hospital,Government,District Hospital,Functional,South East Zone,Chiradzulu,Dec 30th 74,Before Flood,-15.71072,35.17419
BT240354,Dr. Dzinyemba,Dr. Dzinyemba,Private,Clinic,Functional,South East Zone,Blantyre,Dec 30th 74,Before Flood,-15.78609,35.00663
TO310780,Mangunda Health Centre,Mangunda,Government,Health Centre,Functional,South East Zone,Thyolo,Dec 30th 74,Before Flood,-16.02884,35.26166
CZ260804,Malavi Dispensary,Malavi,Government,Dispensary,Functional,South East Zone,Chiradzulu,Dec 30th 74,Before Flood,-15.83686,35.14867
PE221150,Gogo Nazombe,Gogo Nazombe,Government,Health Centre,Functional,South West Zone,Phalombe,Dec 31st 01,Before Flood,-15.75233,35.77498
PE221120,Nambazo ,Nambazo,Government,Health Centre,Functional,South West Zone,Phalombe,Dec 31st 73,Before Flood,-15.55919,35.81566
CZ260079,Bilal Islamic Clinic,Bilal islamic,Private,Hospital,Functional,South East Zone,Chiradzulu,Dec 31st 74,Before Flood,-15.74149,35.13047
CZ260099,BLM Midima Clinic,Midima BLM,Non-Government,Dispensary,Non-functional,South East Zone,Chiradzulu,Dec 31st 74,Before Flood,-15.83121,35.08006
MJ210145,Chambe Health Centre,Chambe Health Centre,Government,Health Centre,Functional,South West Zone,Mulanje,Dec 31st 74,Before Flood,-16.071315,35.482338
MJ210249,Chinyama Health Centre,Chinyama Health Centre,Government,Health Centre,Functional,South West Zone,Mulanje,Dec 31st 74,Before Flood,-16.03822,35.70899
MJ210273,Chisitu Health Centre,Chisitu,Government,Health Centre,Functional,South West Zone,Mulanje,Dec 31st 74,Before Flood,-16.00103,35.4326
TO310274,Chisoka Health Centre,Chisoka Health centre,Government,Health Centre,Functional,South East Zone,Thyolo,Dec 31st 74,Before Flood,-15.94181,35.20879
MJ210311,Chonde Health Centre,Chonde,Government,Health Centre,Functional,South West Zone,Mulanje,Dec 31st 74,Before Flood,-15.99708,35.32333
MHG190419,Gawanani Health Centre,Gawanani,Christian Health Association of Malawi (CHAM),Health Centre,Functional,South West Zone,Machinga,Dec 31st 74,Before Flood,-15.2238,35.20293
TO310431,Gombe Health Centre,Gombe,Government,Health Centre,Functional,South East Zone,Thyolo,Dec 31st 74,Before Flood,-16.37,35.23
TO310631,Khonjeni Health Centre,Khonjeni health centre,Government,Health Centre,Functional,South East Zone,Thyolo,Dec 31st 74,Before Flood,-16.09692,35.27129
CZ260929,Milepa Health Centre,Milepa,Government,Health Centre,Functional,South East Zone,Chiradzulu,Dec 31st 74,Before Flood,-15.68713,35.31818
MJ210989,Mpala Health Centre,kwa Gunde,Government,Health Centre,Functional,South West Zone,Mulanje,Dec 31st 74,Before Flood,-16.14386,35.52479
PE220993,Mpasa Health Centre,Mpasa,Government,Health Centre,Functional,South West Zone,Phalombe,Dec 31st 74,Before Flood,-15.7579,35.61142
PE221203,Nkhulambe,Nkhulambe,Government,Health Centre,Functional,South West Zone,Phalombe,Dec 31st 74,Before Flood,-15.85949,35.74751
PE221263,Phalombe,Phalombe,Government,Health Centre,Functional,South West Zone,Phalombe,Dec 31st 74,Before Flood,-15.80677,35.64918
CZ261328,Servant of the Blessed Virgin Mary Sisters Imanol Larranaga Pvt Clinic,Mary Sisters,Christian Health Association of Malawi (CHAM),Dispensary,Functional,South East Zone,Chiradzulu,Dec 31st 74,Before Flood,,
PE220920,Migowi,Migowi,Government,Health Centre,Functional,South West Zone,Phalombe,Dec 31st 84,Before Flood,-15.71922,35.68542
PE220952,Mkhwayi Health Centre,Mkhwayi,Government,Health Centre,Functional,South West Zone,Phalombe,Dec 6th 88,Before Flood,-15.61457,35.62787
NN291160,Neno District Hospital,Neno District Hospital,Government,District Hospital,Functional,South East Zone,Neno,Feb 10th 07,Before Flood,-15.39524,34.65349
